Gen#	Max_RN_P	Gen#	Max_RN_S	Gen#	Max_SymRN_P	Gen#	Max_ASymRN_P	Gen#	Max_SymRN_S	Gen#	Max_ASymRN_S
7	1.438144	10	1.416667	1	2.000000	6	0.714286	10	1.777778	8	1.200000
1	1.566667	10	1.225806	1	2.111111	1	0.750000	10	1.578947	8	1.272727
3	1.842105	3	1.428571	3	2.206897	3	0.666667	9	1.565217	3	1.444444
1	1.600000	2	1.214286	4	1.962963	4	0.590909	2	1.444444	10	1.111111
4	1.604167	4	1.418605	3	2.111111	4	0.916667	4	1.793103	6	1.250000
3	1.871795	4	1.315789	3	2.423077	3	0.769231	4	1.454545	6	1.666667
3	1.775510	1	1.300000	3	2.228571	9	0.675676	4	1.441176	1	1.125000
10	1.418719	10	1.818182	1	2.000000	2	0.666667	10	1.700000	10	3.000000
2	1.565217	9	1.210526	2	2.096774	8	0.601852	6	1.700000	2	1.142857
4	1.627451	10	1.259259	4	2.147059	7	0.620000	8	1.800000	10	1.555556
5	1.603604	2	1.321429	5	2.173333	10	0.542857	2	1.533333	2	1.076923
2	1.976744	10	1.958333	2	2.437500	2	0.636364	10	2.150000	8	1.285714
4	1.488889	10	1.958333	1	2.176471	7	0.551724	10	2.150000	4	2.000000
5	1.402439	4	1.600000	4	1.871795	1	0.500000	4	1.700000	4	1.200000
3	2.000000	6	1.666667	3	2.250000	6	0.516129	5	2.000000	8	2.000000
1	1.833333	6	2.290323	1	2.173913	7	0.727273	8	1.692308	6	4.000000
5	1.542857	6	1.315789	5	1.949367	4	0.807692	5	1.636364	6	1.333333
4	1.533333	9	1.686275	4	2.037037	1	1.000000	9	2.108108	8	1.142857
8	1.409091	5	1.333333	8	1.958763	3	1.000000	5	1.566667	2	1.000000
1	1.766667	9	1.717949	1	2.300000	1	0.700000	9	2.107143	3	1.166667
7	1.648649	9	1.500000	7	2.063291	6	1.086957	6	2.142857	7	1.666667
1	1.733333	10	1.375000	3	2.208333	1	0.777778	6	1.687500	2	1.625000
7	1.484472	10	1.411765	6	1.960000	1	0.642857	10	1.642857	3	1.000000
1	1.833333	4	1.217391	1	2.347826	2	0.642857	1	1.375000	4	1.500000
7	1.438144	10	1.416667	1	2.000000	6	0.714286	10	1.777778	8	1.200000
8	1.632653	9	1.166667	8	2.062500	2	0.583333	7	1.625000	9	1.333333
2	1.886364	1	1.066667	2	2.678571	1	1.000000	7	1.250000	1	0.777778
1	1.733333	10	1.375000	3	2.208333	1	0.777778	6	1.687500	2	1.625000
7	1.405405	9	1.333333	6	1.970149	2	0.642857	5	1.388889	9	1.333333
1	1.566667	1	1.166667	1	2.105263	8	0.680851	1	1.473684	3	1.000000
1	1.566667	1	1.166667	1	2.105263	8	0.680851	1	1.473684	3	1.000000
1	1.666667	10	2.000000	1	2.250000	7	0.652174	9	3.000000	3	0.818182
3	1.718750	10	1.492754	3	2.600000	5	0.740741	5	1.812500	10	1.909091
4	1.550725	8	2.405406	3	2.206897	4	0.888889	8	3.071429	1	0.857143
2	1.558140	7	1.351852	1	1.888889	1	0.750000	2	1.576923	7	1.571429
5	1.402439	4	1.600000	4	1.871795	1	0.500000	4	1.700000	4	1.200000
1	1.800000	10	1.428571	3	2.100000	2	0.650000	10	2.500000	3	0.750000
5	1.792079	2	1.437500	3	2.300000	5	0.560000	2	1.450000	2	1.416667
5	1.732673	1	1.333333	4	2.292683	1	1.166667	6	1.694444	9	1.083333
4	1.629032	2	1.235294	4	2.086957	3	0.545455	3	1.476190	5	1.333333
5	1.592000	10	1.689655	2	2.034483	5	0.818182	1	1.666667	10	2.000000
2	1.794872	9	1.730769	2	2.285714	2	0.545455	10	1.914286	1	1.230769
7	1.563954	8	2.369231	2	2.047619	7	0.800000	8	3.044445	9	1.283019
8	1.608696	4	1.296296	8	2.120000	1	0.500000	3	2.100000	4	1.000000
1	1.800000	8	1.800000	1	2.272727	9	0.540541	10	2.062500	8	3.125000
1	1.600000	6	2.413793	1	2.000000	3	0.913043	6	2.818182	2	2.000000
5	1.732673	1	1.333333	4	2.292683	1	1.166667	6	1.694444	9	1.083333
3	1.716981	3	1.636364	3	2.655172	4	0.966667	3	2.321429	9	1.688889
4	1.650602	4	1.300000	1	2.277778	4	0.709677	4	1.466667	1	0.833333
2	1.651163	10	1.333333	2	2.444444	6	0.528302	10	2.000000	2	1.363636
ave_max_RN_p	ave_max_RN_s	ave_max_symRN_p	ave_max_asymRN_p	ave_max_symRN_s	ave_max_asymRN_s
1.647144	1.516789	2.167063	0.722537	1.835879	1.431643	
