gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
0.416667	0.363636	0.400000	0.466667	0.620690	0.714286	0.540541	0.510870	0.454545	0.554140	
0.750000	0.636364	0.400000	0.542857	0.694444	0.620000	0.597403	0.509804	0.426573	0.429412	
0.583333	0.222222	0.666667	0.448276	0.466667	0.500000	0.462687	0.313433	0.558140	0.365079	
0.166667	0.312500	0.466667	0.590909	0.431818	0.477273	0.385965	0.371134	0.439394	0.384146	
0.307692	0.230769	0.714286	0.916667	0.500000	0.517241	0.620000	0.538462	0.515152	0.654135	
0.307692	0.285714	0.769231	0.433333	0.416667	0.425000	0.450000	0.551724	0.421687	0.414894	
0.200000	0.631579	0.642857	0.413793	0.363636	0.410256	0.666667	0.418919	0.675676	0.514493	
0.363636	0.666667	0.333333	0.555556	0.500000	0.468750	0.323529	0.312500	0.313726	0.431034	
0.375000	0.466667	0.523810	0.589744	0.418605	0.517857	0.559524	0.601852	0.443709	0.466667	
0.571429	0.478261	0.294118	0.588235	0.600000	0.613636	0.620000	0.418919	0.553191	0.434426	
0.200000	0.428571	0.300000	0.407407	0.416667	0.507463	0.507692	0.495238	0.491071	0.542857	
0.600000	0.636364	0.481481	0.384615	0.500000	0.453125	0.551724	0.523810	0.500000	0.475248	
0.076923	0.133333	0.437500	0.400000	0.275862	0.378378	0.551724	0.523810	0.500000	0.475248	
0.500000	0.500000	0.437500	0.450000	0.458333	0.418605	0.384615	0.375000	0.344828	0.429688	
0.153846	0.333333	0.333333	0.090909	0.461538	0.516129	0.333333	0.277778	0.303030	0.402778	
0.714286	0.470588	0.708333	0.652174	0.666667	0.588235	0.727273	0.555556	0.647541	0.688623	
0.571429	0.666667	0.777778	0.807692	0.307692	0.509434	0.376623	0.518868	0.474074	0.455056	
1.000000	0.466667	0.520000	0.777778	0.411765	0.392857	0.437500	0.411765	0.355556	0.397059	
0.545455	0.333333	1.000000	0.529412	0.500000	0.522727	0.589744	0.473684	0.388889	0.527778	
0.700000	0.523810	0.423077	0.380952	0.425532	0.549020	0.521127	0.483333	0.427586	0.404762	
0.333333	0.625000	0.238095	0.411765	0.500000	1.086957	0.625000	0.450000	0.916667	0.453782	
0.777778	0.533333	0.560000	0.333333	0.210526	0.481481	0.450549	0.522727	0.412121	0.509434	
0.642857	0.571429	0.384615	0.428571	0.413793	0.368421	0.489362	0.500000	0.353982	0.492063	
0.142857	0.642857	0.285714	0.404762	0.413793	0.461538	0.587719	0.531646	0.536723	0.462121	
0.416667	0.363636	0.400000	0.466667	0.620690	0.714286	0.540541	0.510870	0.454545	0.554140	
0.363636	0.583333	0.470588	0.526316	0.575000	0.306122	0.388889	0.442308	0.412844	0.352941	
1.000000	0.500000	0.241379	0.281250	0.288889	0.476923	0.301205	0.345455	0.428571	0.352941	
0.777778	0.533333	0.560000	0.333333	0.210526	0.481481	0.450549	0.522727	0.412121	0.509434	
0.333333	0.642857	0.269231	0.521739	0.531250	0.400000	0.553191	0.478261	0.462366	0.564516	
0.636364	0.400000	0.318182	0.611111	0.648649	0.619048	0.421053	0.680851	0.549180	0.418919	
0.636364	0.400000	0.318182	0.611111	0.648649	0.619048	0.421053	0.680851	0.549180	0.418919	
0.500000	0.416667	0.555556	0.468750	0.418605	0.426230	0.652174	0.451613	0.540000	0.376923	
0.600000	0.428571	0.250000	0.666667	0.740741	0.452381	0.609756	0.545455	0.597015	0.608696	
0.615385	0.846154	0.294118	0.888889	0.562500	0.652174	0.506667	0.573034	0.510345	0.671958	
0.750000	0.700000	0.705882	0.585366	0.571429	0.529412	0.606557	0.620690	0.516129	0.630573	
0.500000	0.500000	0.437500	0.450000	0.458333	0.418605	0.384615	0.375000	0.344828	0.429688	
0.333333	0.650000	0.409091	0.411765	0.360000	0.279412	0.440476	0.345794	0.401361	0.335294	
0.444444	0.285714	0.291667	0.440000	0.560000	0.528302	0.488095	0.470588	0.430464	0.407258	
1.166667	0.444444	0.500000	0.368421	0.696970	0.616667	0.589744	0.602041	0.565574	0.677852	
0.142857	0.444444	0.545455	0.312500	0.285714	0.357143	0.384615	0.488889	0.500000	0.421053	
0.500000	0.571429	0.482759	0.444444	0.818182	0.433333	0.575342	0.788136	0.474684	0.504587	
0.250000	0.545455	0.478261	0.363636	0.428571	0.419355	0.448980	0.344828	0.315508	0.358407	
0.727273	0.777778	0.250000	0.380952	0.782609	0.757576	0.800000	0.666667	0.729508	0.597765	
0.500000	0.444444	0.333333	0.458333	0.312500	0.333333	0.121951	0.263158	0.438356	0.298077	
0.500000	0.538462	0.500000	0.435897	0.391304	0.403509	0.448276	0.330000	0.540541	0.491803	
0.500000	0.333333	0.913043	0.269231	0.433333	0.571429	0.666667	0.490000	0.590551	0.633166	
1.166667	0.444444	0.500000	0.368421	0.696970	0.616667	0.589744	0.602041	0.565574	0.677852	
0.583333	0.625000	0.583333	0.966667	0.560000	0.723684	0.640449	0.652893	0.433735	0.584112	
0.333333	0.388889	0.428571	0.709677	0.673913	0.549296	0.416667	0.491071	0.439024	0.368889	
0.166667	0.312500	0.500000	0.391304	0.391304	0.528302	0.500000	0.360465	0.510417	0.345865	
