gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.000000	0.470588	1.058824	1.000000	1.145833	1.049180	0.727273	0.695364	0.636364	0.832335	
0.700000	0.375000	0.347826	0.388889	0.607143	0.576923	0.357143	0.382022	0.424779	0.367089	
0.500000	0.705882	0.653846	0.857143	0.750000	0.732143	0.883495	0.882353	0.693182	0.589091	
0.285714	0.615385	0.214286	0.240000	0.517241	0.512821	0.474576	0.652174	0.440945	0.420732	
0.333333	0.800000	0.461538	0.500000	0.794118	0.317073	0.469697	0.405941	0.404580	0.425414	
0.444444	0.333333	0.368421	0.285714	0.323529	0.533333	0.469697	0.405941	0.404580	0.425414	
0.166667	0.565217	0.870968	0.702703	0.571429	0.538462	0.545455	0.425926	0.460377	0.526490	
1.900000	1.136364	0.818182	0.928571	0.583333	0.629214	0.559702	0.700000	0.827338	0.687339	
0.636364	0.222222	0.411765	0.448276	0.433333	0.472727	0.428571	0.445783	0.508621	0.355072	
1.111111	0.937500	0.636364	0.473684	0.658537	0.733333	0.458824	0.512000	0.546875	0.479853	
0.538462	0.529412	0.666667	0.473684	0.588235	0.672414	0.454545	0.333333	0.500000	0.505556	
0.300000	0.571429	0.714286	0.866667	0.511111	0.416667	0.724490	0.445255	0.641176	0.532258	
0.375000	0.590909	0.480000	0.647059	0.512821	0.425926	0.450704	0.494382	0.366412	0.381720	
3.000000	0.772727	0.370370	0.693878	0.573529	0.714286	0.517544	0.447368	0.381443	0.521583	
1.375000	0.565217	0.600000	0.806452	0.853659	0.634615	0.878049	0.648936	0.666667	0.532609	
0.636364	0.461538	0.458333	0.514286	0.600000	0.357143	0.418605	0.324324	0.551724	0.437500	
0.272727	1.357143	1.040000	0.322581	0.552632	0.483333	0.519481	0.487603	0.612676	0.616505	
1.000000	0.470588	1.058824	1.000000	1.145833	1.049180	0.727273	0.695364	0.636364	0.832335	
0.636364	0.375000	0.722222	0.680000	0.625000	0.424242	0.542553	0.640288	0.525346	0.602985	
0.090909	0.466667	0.466667	0.400000	0.521739	0.388889	0.488372	0.529412	0.458333	0.552239	
0.800000	0.941176	0.666667	1.000000	0.590909	0.733333	0.631579	0.568627	0.796992	0.616216	
0.500000	0.368421	0.800000	0.536585	0.372549	0.485294	0.415929	0.546219	0.451429	0.449580	
0.666667	1.055556	0.727273	0.743590	0.900000	0.898551	0.966292	0.849162	0.823529	0.870879	
0.272727	0.444444	0.214286	0.555556	0.375000	0.350000	0.423077	0.383333	0.442105	0.384615	
0.500000	0.285714	0.758621	0.461538	0.474576	0.600000	0.644068	0.620112	0.529915	0.531335	
0.909091	0.500000	0.894737	0.791667	0.555556	0.652174	0.641791	0.636364	0.796875	0.606557	
0.750000	0.388889	0.450000	0.459459	0.586207	0.422222	0.517241	0.538462	0.539130	0.511450	
0.545455	0.230769	0.541667	0.625000	0.365385	0.486111	0.424000	0.467532	0.442478	0.481481	
1.250000	0.722222	0.466667	0.702703	0.430769	0.734375	0.678261	0.397059	0.540984	0.474265	
0.363636	0.818182	0.656250	0.685714	0.590164	0.666667	0.528302	0.654930	0.540816	0.543396	
0.444444	0.705882	0.400000	0.500000	0.555556	0.307692	0.333333	0.307692	0.333333	0.330097	
0.333333	0.777778	0.481481	0.428571	0.531915	0.425532	0.449438	1.045455	0.528000	0.497462	
0.750000	0.458333	0.357143	0.760000	0.676471	0.551020	0.451219	0.464912	0.511278	0.448598	
0.500000	0.529412	0.500000	0.433333	0.542857	0.569231	0.525000	0.515924	0.558824	0.541502	
0.375000	0.937500	0.578947	0.621622	0.866667	0.619048	0.452632	0.703226	0.538095	0.722397	
0.454545	0.571429	0.769231	0.629630	0.722222	0.722222	0.680000	0.632479	0.617143	0.755556	
1.076923	0.800000	0.470588	0.666667	1.039216	0.666667	0.686275	0.732240	0.712062	0.730479	
0.750000	0.500000	0.846154	0.378378	0.519231	0.620000	0.451128	0.653509	0.572993	0.471649	
1.181818	1.333333	1.000000	0.900000	0.589286	0.645161	0.791304	0.750000	0.586777	0.830424	
0.636364	0.250000	0.642857	0.555556	0.484848	0.400000	0.451219	0.444444	0.422222	0.475410	
0.750000	0.416667	0.916667	0.473684	0.606061	0.452381	0.491803	0.523810	0.554745	0.582857	
0.888889	0.352941	0.555556	0.666667	0.679245	0.571429	0.597561	0.613208	0.525140	0.574074	
1.333333	0.631579	0.741935	0.458333	0.717949	0.660377	0.694444	0.620690	0.648352	0.646226	
0.300000	0.250000	0.533333	0.380952	0.323529	0.660377	0.694444	0.620690	0.648352	0.646226	
0.333333	0.583333	0.541667	0.333333	0.333333	0.442308	0.436620	0.412371	0.416667	0.496403	
0.000000	1.000000	1.600000	0.740741	0.719298	0.925373	0.663636	0.786765	0.718447	0.769886	
0.500000	0.777778	0.263158	0.400000	1.090909	0.666667	0.566038	0.662338	0.694118	0.786885	
0.416667	0.125000	0.550000	0.291667	0.590909	0.553846	0.500000	0.532258	0.453488	0.500000	
1.000000	0.466667	0.636364	0.500000	0.600000	0.448598	0.593023	0.697581	0.720930	0.538462	
0.454545	0.500000	0.210526	0.363636	0.450000	0.446429	0.546875	0.520000	0.525547	0.439614	
