gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
0.000000	0.250000	0.833333	0.833333	0.800000	0.625000	0.285714	1.200000	0.375000	0.333333	
0.857143	0.272727	1.111111	0.777778	0.692308	0.571429	0.666667	1.272727	0.625000	0.666667	
0.800000	0.461538	1.444444	0.500000	0.600000	0.466667	0.500000	0.454545	0.615385	0.687500	
0.200000	0.800000	1.090909	0.437500	0.823529	1.058824	0.500000	0.750000	0.411765	1.111111	
1.000000	0.571429	0.636364	0.642857	0.666667	1.250000	0.500000	0.791667	0.720000	0.774194	
0.625000	0.200000	1.000000	1.125000	0.555556	1.666667	1.000000	1.200000	0.000000	0.000000	
1.125000	0.769231	0.909091	0.941176	0.533333	0.833333	0.421053	1.100000	0.590909	0.724138	
0.571429	0.333333	0.500000	0.538462	0.250000	0.400000	0.000000	0.166667	0.000000	3.000000	
0.500000	1.142857	0.000000	0.500000	1.000000	0.000000	1.000000	0.833333	1.000000	0.571429	
1.000000	0.500000	1.000000	0.750000	0.600000	0.636364	0.400000	0.500000	0.500000	1.555556	
0.615385	1.076923	0.200000	1.000000	0.750000	0.750000	0.555556	0.692308	0.454545	0.700000	
0.333333	0.333333	0.666667	0.600000	0.571429	0.166667	0.166667	1.285714	0.545455	1.000000	
0.125000	0.076923	0.200000	2.000000	0.500000	-1.000000	0.166667	1.285714	0.545455	1.000000	
0.300000	0.250000	0.200000	1.200000	0.777778	0.333333	1.125000	0.888889	0.250000	0.714286	
0.500000	0.333333	1.000000	0.000000	0.500000	1.500000	0.000000	2.000000	0.333333	0.000000	
0.727273	0.250000	1.111111	0.625000	1.000000	4.000000	0.727273	0.583333	0.764706	0.861111	
0.846154	0.454545	1.000000	0.384615	0.125000	1.333333	0.750000	0.400000	0.727273	1.000000	
0.833333	0.444444	0.533333	0.882353	0.384615	0.500000	0.500000	1.142857	0.571429	0.555556	
0.833333	1.000000	0.600000	0.882353	0.866667	0.388889	0.631579	0.884615	0.421053	0.400000	
1.000000	0.900000	1.166667	1.000000	0.947368	0.384615	0.785714	0.727273	0.727273	0.571429	
0.428571	0.600000	0.600000	0.846154	0.000000	0.200000	1.666667	0.800000	0.600000	0.666667	
1.125000	1.625000	0.454545	0.692308	0.222222	0.555556	0.500000	0.222222	0.333333	1.500000	
0.666667	0.125000	1.000000	0.428571	0.545455	0.857143	0.300000	0.333333	0.555556	0.333333	
1.000000	1.076923	0.333333	1.500000	0.777778	0.900000	0.666667	0.900000	0.909091	0.555556	
0.000000	0.250000	0.833333	0.833333	0.800000	0.625000	0.285714	1.200000	0.375000	0.333333	
0.714286	0.538462	0.750000	0.428571	0.714286	1.000000	0.250000	0.000000	1.333333	0.000000	
0.777778	0.250000	0.400000	0.500000	0.250000	0.500000	0.000000	0.000000	-1.000000	0.000000	
1.125000	1.625000	0.454545	0.692308	0.222222	0.555556	0.500000	0.222222	0.333333	1.500000	
0.692308	0.900000	0.666667	1.000000	0.363636	0.750000	0.222222	0.500000	1.333333	0.857143	
0.636364	0.636364	1.000000	0.800000	0.800000	0.700000	0.888889	0.307692	0.222222	0.500000	
0.636364	0.636364	1.000000	0.800000	0.800000	0.700000	0.888889	0.307692	0.222222	0.500000	
0.500000	0.416667	0.818182	0.714286	0.454545	0.333333	0.500000	0.400000	0.666667	-1.000000	
0.444444	0.888889	0.666667	0.500000	0.400000	0.818182	1.166667	1.250000	0.888889	1.909091	
0.857143	0.785714	0.692308	0.411765	0.642857	0.300000	0.800000	0.333333	0.821429	0.645161	
0.500000	0.545455	0.666667	0.500000	0.700000	0.777778	1.571429	0.875000	0.555556	0.904762	
0.300000	0.250000	0.200000	1.200000	0.777778	0.333333	1.125000	0.888889	0.250000	0.714286	
0.375000	0.571429	0.750000	0.285714	0.250000	0.500000	0.500000	0.500000	0.000000	0.000000	
0.666667	1.416667	0.812500	0.476190	0.111111	0.714286	0.666667	1.000000	0.500000	1.000000	
0.875000	0.800000	0.818182	1.055556	0.230769	0.619048	0.700000	0.481481	1.083333	0.807692	
0.142857	0.714286	0.666667	0.846154	1.333333	0.642857	0.647059	0.545455	0.931035	0.636364	
0.666667	0.666667	0.666667	0.714286	0.700000	0.562500	0.500000	1.000000	1.333333	2.000000	
1.230769	0.888889	0.454545	0.555556	0.900000	0.857143	0.666667	0.285714	1.000000	0.900000	
0.833333	0.875000	1.000000	1.181818	0.555556	0.884615	0.625000	0.850000	1.283019	0.493671	
0.625000	0.272727	0.461538	1.000000	0.400000	0.307692	0.692308	0.450000	0.533333	0.583333	
0.250000	0.428571	0.250000	1.000000	1.200000	0.000000	0.285714	3.125000	0.500000	0.375000	
0.500000	2.000000	1.250000	0.700000	0.461538	1.142857	0.583333	0.631579	1.782609	1.000000	
0.875000	0.800000	0.818182	1.055556	0.230769	0.619048	0.700000	0.481481	1.083333	0.807692	
1.333333	1.000000	0.437500	0.807692	0.730769	1.090909	0.769231	0.913043	1.688889	1.555556	
0.833333	0.090909	0.777778	0.800000	0.500000	0.500000	0.500000	0.125000	0.400000	0.625000	
0.428571	1.363636	0.285714	0.600000	0.571429	1.000000	0.777778	0.500000	0.800000	0.666667	
