gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.000000	0.818182	0.692308	0.714286	0.176471	1.727273	0.684211	1.263158	0.807692	1.038462	
0.800000	0.600000	1.272727	0.916667	1.200000	0.500000	0.333333	0.555556	1.200000	0.555556	
1.333333	0.750000	0.666667	0.818182	0.941176	0.750000	0.555556	1.100000	0.645161	1.563636	
0.416667	0.600000	0.700000	0.636364	0.800000	1.000000	0.692308	0.666667	0.636364	0.700000	
0.333333	0.200000	0.666667	0.800000	0.750000	0.555556	0.272727	0.250000	0.625000	0.714286	
1.250000	0.578947	0.533333	0.333333	0.285714	-1.000000	0.272727	0.250000	0.625000	0.714286	
0.777778	0.833333	0.000000	0.333333	1.000000	2.000000	1.000000	1.333333	1.500000	2.666667	
0.909091	0.300000	1.071429	0.928571	0.942857	0.829268	0.804348	0.648148	1.257576	0.808696	
0.266667	1.375000	0.687500	1.285714	0.000000	0.714286	0.200000	1.000000	0.625000	1.142857	
1.000000	0.666667	0.937500	0.900000	0.555556	1.000000	1.285714	0.583333	0.600000	0.421053	
0.000000	0.571429	0.200000	0.666667	0.909091	1.375000	1.000000	1.000000	0.900000	0.857143	
0.687500	1.000000	0.727273	0.714286	0.636364	1.083333	0.541667	0.592593	0.954545	0.535714	
0.428571	1.363636	0.444444	0.785714	0.833333	1.200000	1.000000	0.500000	0.625000	0.500000	
0.846154	0.636364	0.300000	1.000000	0.333333	1.400000	0.466667	0.538462	1.625000	0.666667	
0.923077	1.000000	0.250000	0.750000	0.727273	0.944444	0.800000	2.105263	1.473684	0.757576	
0.428571	0.571429	1.111111	0.764706	0.846154	0.400000	1.000000	1.000000	1.000000	0.388889	
1.375000	0.714286	3.764706	0.891892	0.714286	1.064516	1.042553	0.698113	0.736842	0.568627	
1.000000	0.818182	0.692308	0.714286	0.176471	1.727273	0.684211	1.263158	0.807692	1.038462	
0.923077	0.666667	1.000000	1.333333	0.600000	0.466667	1.000000	1.000000	0.727273	0.666667	
0.666667	0.363636	1.083333	0.600000	0.461538	1.375000	0.600000	0.705882	1.263158	0.550000	
0.800000	1.066667	1.263158	0.750000	0.357143	0.705882	0.625000	1.000000	1.000000	0.666667	
0.750000	0.538462	0.555556	1.250000	1.000000	0.750000	1.125000	0.777778	0.769231	0.636364	
1.000000	1.700000	1.230769	0.842105	0.727273	1.625000	0.809524	0.807692	1.066667	1.128205	
0.166667	0.800000	0.461538	0.444444	1.250000	0.000000	0.666667	0.400000	0.600000	-1.000000	
0.500000	1.333333	0.444444	0.571429	1.000000	0.800000	0.400000	0.125000	1.200000	0.714286	
1.076923	1.058824	0.764706	1.076923	0.866667	0.727273	0.545455	0.937500	0.823529	0.920000	
0.600000	0.500000	1.500000	1.000000	1.500000	1.000000	0.625000	0.615385	0.400000	0.666667	
0.692308	0.222222	0.461538	0.636364	0.666667	0.916667	0.700000	0.312500	0.708333	0.277778	
0.800000	0.375000	0.466667	0.166667	0.846154	0.818182	1.285714	0.333333	1.333333	0.571429	
0.777778	0.846154	0.000000	0.733333	3.000000	1.000000	1.400000	0.363636	0.590909	0.840000	
0.375000	0.363636	0.411765	0.384615	0.750000	0.444444	1.125000	0.785714	0.692308	1.142857	
0.777778	0.125000	1.000000	0.333333	0.800000	0.304348	0.863636	0.482759	0.619048	0.454545	
0.888889	0.333333	1.333333	0.785714	1.250000	0.769231	0.888889	0.615385	1.100000	0.769231	
0.800000	0.714286	0.250000	1.285714	0.500000	0.388889	0.500000	1.000000	1.428571	0.400000	
0.363636	0.615385	0.555556	0.615385	1.062500	0.750000	0.375000	0.818182	0.421053	0.428571	
1.142857	0.636364	0.181818	0.625000	0.666667	0.000000	0.714286	0.444444	1.000000	0.666667	
1.500000	0.200000	0.800000	1.090909	2.000000	4.916667	0.857143	0.764706	1.661538	0.849315	
0.444444	1.250000	0.000000	0.250000	0.400000	1.400000	0.400000	0.500000	0.500000	0.500000	
0.444444	0.692308	1.066667	0.941176	0.666667	1.000000	0.843750	0.807692	1.000000	2.404255	
1.000000	0.857143	0.428571	0.444444	1.285714	0.888889	0.466667	0.733333	1.000000	0.416667	
1.250000	0.777778	1.333333	0.823529	0.785714	0.733333	1.214286	0.684211	0.777778	1.000000	
0.600000	0.714286	0.333333	1.600000	0.909091	0.529412	0.692308	0.750000	0.807692	0.576923	
0.800000	0.250000	0.875000	1.714286	0.600000	1.000000	1.000000	1.615385	1.250000	3.555556	
0.375000	0.285714	0.714286	0.428571	-1.000000	1.000000	1.000000	1.615385	1.250000	3.555556	
0.466667	0.500000	0.666667	1.333333	0.500000	0.333333	0.000000	2.000000	0.000000	0.500000	
0.555556	0.916667	0.166667	0.846154	0.615385	1.166667	0.944444	0.900000	0.588235	0.520000	
1.000000	0.750000	0.500000	0.545455	1.368421	0.461538	0.800000	0.827586	0.733333	1.230769	
0.538462	0.636364	0.714286	1.666667	1.062500	0.250000	0.437500	0.230769	0.750000	0.400000	
1.444444	1.090909	1.058824	0.650000	0.647059	1.000000	0.695652	3.411765	0.780000	1.279070	
0.777778	0.272727	0.750000	1.200000	0.833333	0.909091	1.214286	0.666667	0.857143	0.500000	
