gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.366667	1.414634	1.189655	1.434783	1.414141	1.385714	1.438144	1.225806	1.315789	1.253333	
1.566667	1.361702	1.250000	1.225000	1.367347	1.455224	1.394872	1.382353	1.218085	1.189956	
1.100000	1.151515	1.842105	1.214286	1.576471	1.390978	1.156757	1.238318	1.339623	1.281690	
1.600000	1.125000	1.407407	1.565789	1.260504	1.353333	1.443350	1.276451	1.403743	1.306667	
1.100000	0.969697	1.500000	1.604167	1.428571	1.454545	1.368750	1.479452	1.311728	1.392941	
0.900000	1.444444	1.871795	1.136986	1.204819	1.390000	1.309353	1.280220	1.231760	1.310104	
1.733333	0.942308	1.775510	1.229885	1.252337	1.253731	1.517857	1.333333	1.391176	1.310782	
1.400000	1.071429	1.022222	1.195652	1.418182	1.307692	1.235294	1.309524	1.236364	1.418719	
1.533333	1.565217	1.388889	1.430000	1.391608	1.226131	1.434426	1.334286	1.334047	1.417336	
1.566667	0.957447	1.133333	1.627451	1.445783	1.300000	1.474359	1.234783	1.348592	1.287206	
1.500000	1.244444	1.500000	1.321429	1.603604	1.106742	1.360406	1.294776	1.308357	1.262115	
1.433333	1.976744	1.376471	1.264957	1.344595	1.346734	1.264925	1.404130	1.294118	1.329545	
1.266667	1.026316	1.153846	1.488889	1.298507	1.321839	1.264925	1.404130	1.294118	1.329545	
1.100000	1.333333	1.340909	1.389830	1.402439	1.243478	1.321678	1.365079	1.275194	1.188450	
0.900000	0.851852	2.000000	1.239130	1.368421	1.358974	1.292453	1.357664	1.301075	1.256198	
1.833333	1.254545	1.275362	1.625000	1.202797	1.267442	1.435780	1.351438	1.252955	1.356604	
1.333333	1.375000	1.418182	1.346154	1.542857	1.419753	1.273913	1.317406	1.269430	1.283674	
1.366667	1.341463	0.818182	1.533333	1.173913	1.283951	1.067308	1.315315	1.369863	1.305000	
1.066667	1.187500	1.368421	1.288462	1.388060	1.268817	1.305085	1.409091	1.364055	1.327703	
1.766667	1.283019	1.264706	1.406977	1.322314	1.468750	1.421277	1.278443	1.269321	1.391144	
1.333333	1.225000	1.102041	0.962963	1.384615	1.541667	1.648649	1.415300	1.455598	1.267905	
1.733333	1.403846	1.643836	1.233333	1.574324	1.236052	1.375000	1.305556	1.299807	1.418155	
1.100000	1.454545	1.395833	1.298507	1.298851	1.424779	1.484472	1.443515	1.211594	1.308612	
1.833333	1.563636	1.476744	1.346457	1.497076	1.380392	1.400568	1.215010	1.370618	1.349574	
1.366667	1.414634	1.189655	1.434783	1.414141	1.385714	1.438144	1.225806	1.315789	1.253333	
1.233333	1.324324	1.326531	1.461538	1.294737	1.186992	1.342466	1.632653	1.281250	1.190244	
1.466667	1.886364	1.216867	1.316832	1.263158	1.363095	1.283843	1.224490	1.344444	1.190244	
1.733333	1.403846	1.643836	1.233333	1.574324	1.236052	1.375000	1.305556	1.299807	1.418155	
1.400000	1.357143	1.192982	1.279412	1.229885	1.383178	1.405405	1.317308	1.324818	1.380165	
1.566667	1.276596	1.200000	1.416667	1.333333	1.463235	1.356784	1.344444	1.385675	1.401590	
1.566667	1.276596	1.200000	1.416667	1.333333	1.463235	1.356784	1.344444	1.385675	1.401590	
1.666667	1.360000	1.308824	1.247191	1.225225	1.102941	1.320000	1.358586	1.338290	1.230556	
1.100000	0.969697	1.718750	1.327273	1.342466	1.224490	1.316667	1.373418	1.382488	1.406667	
1.200000	1.277778	1.500000	1.550725	1.289720	1.485507	1.375610	1.421986	1.314214	1.320683	
1.433333	1.558140	1.343284	1.055556	1.326316	1.404762	1.423729	1.253968	1.420886	1.247216	
1.100000	1.333333	1.340909	1.389830	1.402439	1.243478	1.321678	1.365079	1.275194	1.188450	
1.800000	1.333333	1.583333	1.324561	1.437086	1.198157	1.257692	1.299694	1.228235	1.254789	
1.433333	1.255814	1.407407	1.328947	1.792079	1.403315	1.444882	1.359673	1.410822	1.282670	
1.500000	0.977778	1.363636	1.683333	1.732673	1.320000	1.281385	1.283784	1.405263	1.522472	
1.466667	0.954545	1.476190	1.629032	1.128713	1.236842	1.042553	1.408163	1.338164	1.444043	
1.433333	1.558140	1.358209	1.373626	1.592000	1.261307	1.394422	1.397143	1.335378	1.372129	
1.300000	1.794872	1.414286	1.646465	1.361963	1.319820	1.395904	1.386308	1.287478	1.298630	
1.300000	1.461538	1.157895	1.257576	1.518072	1.365079	1.563954	1.446097	1.416452	1.406534	
1.133333	1.470588	1.340000	1.358209	0.989011	1.244444	1.232143	1.608696	1.279279	1.158451	
1.800000	1.592593	1.476744	1.196850	1.276316	1.293814	1.219123	1.369281	1.303103	1.287546	
1.600000	1.270833	1.573771	1.197917	1.408696	1.401235	1.431718	1.304615	1.443396	1.391162	
1.500000	0.977778	1.363636	1.683333	1.732673	1.320000	1.281385	1.283784	1.405263	1.522472	
1.233333	1.432432	1.716981	1.538462	1.435714	1.298507	1.340996	1.351429	1.334746	1.284127	
1.500000	1.288889	1.431034	1.650602	1.372263	1.340425	1.392857	1.390313	1.366803	1.374813	
1.433333	1.651163	1.154930	1.219512	1.450000	1.296552	1.393617	1.164122	1.327869	1.172840	
