gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.433333	1.255814	1.537037	1.578313	1.496183	1.607143	1.457143	1.379085	1.532385	1.465979	
1.700000	1.156863	0.983051	1.275862	1.229730	1.846154	1.529762	1.369650	1.338068	1.254777	
1.933333	1.379310	1.250000	1.430000	1.426573	1.450980	1.368243	1.461728	1.542230	1.383352	
1.366667	1.243902	1.235294	1.301587	1.573171	1.387597	1.396648	1.368000	1.315789	1.231111	
1.000000	1.566667	1.468085	1.405797	1.412371	1.445256	1.434343	1.288732	1.415300	1.252896	
1.366667	1.073171	1.386364	1.262295	1.168831	1.322222	1.434343	1.288732	1.415300	1.252896	
2.066667	1.338710	1.373494	1.500000	1.467836	1.470119	1.392954	1.402724	1.241331	1.376536	
1.966667	1.491525	1.397727	1.723577	1.382075	1.416382	1.281928	1.439850	1.446475	1.299639	
1.666667	1.140000	1.245614	1.478873	1.485714	1.230769	1.291667	1.358871	1.275964	1.374419	
1.500000	1.422222	1.734375	1.243243	1.405797	1.350515	1.522901	1.498747	1.414716	1.362884	
1.266667	1.210526	1.652174	1.486842	1.433628	1.395062	1.393805	1.441270	1.332599	1.376860	
1.200000	1.583333	1.631579	1.387097	1.573643	1.270936	1.480620	1.306283	1.406814	1.408832	
1.866667	1.392857	1.294872	1.277228	1.271318	1.353659	1.364865	1.376238	1.443645	1.325581	
2.200000	1.500000	1.393939	1.384058	1.267016	1.400826	1.371681	1.324731	1.331169	1.360976	
1.533333	1.304348	1.200000	1.375000	1.484848	1.340136	1.517766	1.394649	1.390887	1.348276	
1.333333	1.675000	1.626866	1.247706	1.514706	1.276699	1.399240	1.288043	1.373418	1.405530	
1.133333	1.823529	1.274194	1.379747	1.577982	1.290698	1.432432	1.305031	1.445783	1.368333	
1.433333	1.255814	1.537037	1.578313	1.496183	1.607143	1.457143	1.379085	1.532385	1.465979	
1.466667	1.181818	1.557692	1.654321	1.597015	1.490654	1.501567	1.463466	1.496434	1.397521	
1.233333	1.054054	1.000000	1.384615	1.129630	1.459016	1.157303	1.407767	1.268965	1.380435	
1.700000	1.411765	1.319444	1.473684	1.278571	1.329609	1.277311	1.351974	1.510949	1.413849	
1.833333	1.363636	1.520000	1.368421	1.384615	1.439815	1.221865	1.439474	1.372943	1.358189	
1.366667	1.658537	1.558824	1.349057	1.440559	1.558252	1.638629	1.530418	1.467081	1.504657	
1.133333	1.441176	1.040816	1.529412	1.461538	1.342105	1.281046	1.341837	1.365019	1.309192	
1.766667	1.603774	1.423529	1.462810	1.378531	1.495902	1.441096	1.414449	1.462366	1.338235	
1.600000	1.125000	1.333333	1.513889	1.385321	1.344371	1.349754	1.339416	1.463215	1.461825	
1.633333	1.367347	1.477612	1.080808	1.401869	1.326667	1.417085	1.312057	1.243243	1.463043	
1.366667	1.585366	1.646154	1.560748	1.449102	1.450413	1.370370	1.494802	1.340751	1.381743	
2.000000	1.600000	1.156250	1.351351	1.346667	1.529703	1.343042	1.313253	1.363303	1.318977	
1.566667	1.765957	1.409639	1.418803	1.253012	1.475962	1.407166	1.409722	1.395731	1.376471	
1.500000	1.400000	1.174603	1.148649	1.105882	1.382979	1.330769	1.277457	1.312217	1.286207	
1.633333	1.571429	1.506493	1.137931	1.257576	1.433735	1.189076	1.480565	1.377088	1.166378	
2.000000	1.166667	1.185714	1.373494	1.447368	1.430303	1.419492	1.283582	1.474419	1.348580	
1.700000	1.372549	1.271429	1.449438	1.550388	1.690000	1.331361	1.266667	1.312281	1.339572	
1.300000	1.461538	1.614035	1.304348	1.641667	1.487310	1.382253	1.518519	1.411382	1.419355	
1.433333	1.209302	1.500000	1.525641	1.462185	1.402299	1.483607	1.406077	1.430255	1.487637	
1.866667	1.589286	1.415730	1.301587	1.506098	1.437247	1.543662	1.448905	1.486146	1.433051	
1.833333	1.509091	1.662651	1.326087	1.513661	1.552347	1.388372	1.363484	1.401720	1.328659	
1.400000	1.666667	1.614286	1.557522	1.301136	1.554585	1.474719	1.615238	1.413915	1.385321	
1.333333	1.225000	1.857143	1.428571	1.515385	1.324873	1.398467	1.506849	1.360000	1.386364	
1.200000	1.250000	1.377778	1.467742	1.483516	1.518519	1.453659	1.352349	1.332506	1.396648	
1.733333	1.442308	1.106667	1.530120	1.246032	1.445860	1.414097	1.520249	1.280738	1.352000	
1.733333	1.230769	1.125000	1.430556	1.621359	1.449102	1.557851	1.331565	1.278884	1.436137	
1.266667	1.263158	1.291667	1.564516	1.309278	1.449102	1.557851	1.331565	1.278884	1.436137	
1.366667	1.292683	1.226415	1.600000	1.413462	1.496599	1.327273	1.195205	1.375358	1.393750	
1.433333	1.627907	1.585714	1.459459	1.438272	1.472103	1.358601	1.482833	1.560058	1.369202	
1.033333	1.548387	1.104167	1.396226	1.527027	1.424779	1.322981	1.262911	1.397770	1.340425	
1.200000	1.583333	1.561404	1.505618	1.455224	1.492308	1.292096	1.481383	1.369838	1.394495	
1.566667	2.000000	1.755319	1.448485	1.546219	1.448370	1.358349	1.337017	1.497934	1.311034	
1.266667	1.868421	1.408451	1.280000	1.382813	1.209040	1.401869	1.426667	1.394860	1.261307	
