gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
0.633333	1.000000	1.000000	0.947368	1.277778	1.043478	0.541667	1.153846	0.800000	1.416667	
1.166667	1.000000	1.114286	0.897436	0.914286	0.937500	1.000000	1.100000	0.939394	1.225806	
1.133333	1.029412	1.428571	0.740000	1.054054	0.923077	0.944444	1.058824	1.222222	0.818182	
0.933333	1.214286	1.176471	0.975000	0.974359	1.131579	0.883721	1.131579	0.674419	1.137931	
1.366667	1.000000	1.048780	1.418605	1.000000	1.163934	1.253521	1.022472	1.032967	1.106383	
0.833333	0.760000	1.000000	1.315789	0.440000	1.272727	0.928571	1.230769	0.625000	1.000000	
1.300000	1.102564	1.186046	1.274510	0.984615	1.078125	1.028986	1.295775	1.108696	1.098039	
1.333333	0.675000	1.111111	0.633333	0.789474	1.066667	1.250000	0.550000	1.000000	1.818182	
0.766667	0.913043	1.095238	0.826087	1.052632	0.850000	0.941176	1.187500	1.210526	0.869565	
1.100000	1.121212	0.837838	1.096774	0.882353	0.766667	0.869565	1.150000	1.173913	1.259259	
0.933333	1.321429	0.621622	1.217391	1.142857	0.937500	1.033333	0.903226	1.035714	0.965517	
0.900000	0.666667	1.000000	0.944444	0.941176	1.312500	0.809524	1.470588	0.960000	1.958333	
1.000000	0.333333	0.300000	1.000000	1.000000	0.666667	0.809524	1.470588	0.960000	1.958333	
0.966667	1.068966	0.806452	1.600000	0.925000	0.513514	1.368421	1.115385	0.724138	0.952381	
0.800000	0.708333	0.529412	0.333333	1.000000	1.666667	1.000000	1.600000	1.000000	0.250000	
0.833333	1.000000	1.320000	0.878788	1.068966	2.290323	1.084507	1.519480	1.188034	1.266187	
1.066667	0.812500	1.076923	0.678571	1.000000	1.315789	1.200000	1.000000	0.800000	1.291667	
1.233333	1.081081	1.050000	1.119048	0.808511	1.263158	0.854167	1.243902	1.686275	0.802326	
1.233333	1.135135	0.880952	1.216216	1.333333	0.983333	1.033898	1.000000	0.622951	0.684211	
0.966667	0.862069	1.320000	1.303030	0.953488	0.731707	1.100000	1.181818	1.717949	1.059701	
0.866667	1.038462	1.000000	0.925926	0.480000	1.333333	1.187500	0.842105	1.500000	1.375000	
0.900000	1.148148	1.064516	0.909091	0.833333	1.280000	0.812500	0.769231	0.800000	1.375000	
1.033333	1.064516	1.272727	0.952381	0.925000	0.918919	0.911765	0.774194	0.708333	1.411765	
1.200000	0.916667	0.696970	1.217391	0.892857	1.120000	1.107143	0.935484	1.000000	0.724138	
0.633333	1.000000	1.000000	0.947368	1.277778	1.043478	0.541667	1.153846	0.800000	1.416667	
1.033333	0.677419	0.952381	0.850000	1.058824	0.888889	0.937500	0.800000	1.166667	0.857143	
1.066667	0.687500	0.454545	1.000000	0.600000	0.833333	1.000000	0.200000	1.000000	0.857143	
0.900000	1.148148	1.064516	0.909091	0.833333	1.280000	0.812500	0.769231	0.800000	1.375000	
0.866667	0.884615	1.043478	1.208333	1.000000	1.000000	0.724138	0.857143	1.333333	1.041667	
1.166667	0.942857	1.090909	0.750000	0.962963	1.038462	1.037037	0.857143	0.541667	1.000000	
1.166667	0.942857	1.090909	0.750000	0.962963	1.038462	1.037037	0.857143	0.541667	1.000000	
1.000000	1.100000	0.812500	0.923077	0.833333	0.650000	0.692308	0.444444	1.250000	2.000000	
0.800000	1.041667	1.040000	0.807692	1.476190	1.193548	1.108108	1.414634	1.189655	1.492754	
1.333333	1.125000	0.777778	1.200000	0.952381	0.850000	1.088235	2.405406	1.213483	1.425926	
1.233333	1.270270	0.851064	1.100000	1.181818	1.038462	1.351852	1.027397	1.013333	1.210526	
0.966667	1.068966	0.806452	1.600000	0.925000	0.513514	1.368421	1.115385	0.724138	0.952381	
0.700000	1.047619	0.863636	0.578947	0.636364	1.285714	0.666667	1.000000	1.166667	1.428571	
1.066667	1.437500	0.956522	0.613636	0.777778	0.904762	0.684211	1.076923	0.500000	0.857143	
1.333333	1.050000	1.166667	1.224490	0.950000	1.298246	0.945946	0.900000	1.206349	1.105263	
1.133333	1.235294	1.071429	0.822222	1.162162	1.069767	1.130435	1.192308	0.983871	1.016393	
1.266667	1.210526	0.869565	0.900000	1.250000	0.977778	0.590909	0.692308	1.611111	1.689655	
1.100000	1.151515	0.868421	1.030303	1.147059	1.051282	0.804878	0.787879	1.730769	1.688889	
0.933333	0.964286	1.185185	1.062500	1.970588	1.164179	0.833333	2.369231	1.740260	1.541045	
1.100000	0.696970	1.173913	1.296296	0.914286	1.218750	1.230769	0.979167	0.978723	0.956522	
0.933333	0.928571	0.769231	1.150000	1.043478	1.083333	0.769231	1.800000	0.666667	1.500000	
0.933333	1.142857	1.093750	1.142857	0.725000	2.413793	0.842857	1.220339	1.569444	1.407080	
1.333333	1.050000	1.166667	1.224490	0.950000	1.298246	0.945946	0.900000	1.206349	1.105263	
1.300000	1.128205	1.636364	0.944444	1.058824	1.180556	1.423529	1.024793	1.419355	1.318182	
0.933333	0.892857	0.800000	1.300000	1.192308	1.032258	0.843750	0.666667	0.777778	0.571429	
1.100000	1.242424	0.609756	1.080000	0.888889	0.875000	0.952381	0.700000	0.857143	1.333333	
