gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.300000	1.384615	1.000000	1.111111	0.683333	1.512195	0.951613	1.220339	1.208333	1.252874	
1.066667	1.218750	0.794872	0.903226	1.071429	0.900000	0.740741	1.200000	1.125000	0.814815	
0.866667	1.038462	1.074074	1.482759	1.046512	1.044444	2.021277	1.042105	1.747475	1.473988	
0.900000	0.925926	1.080000	0.777778	1.190476	1.280000	0.968750	0.903226	1.071429	0.966667	
1.266667	0.763158	1.000000	1.034483	1.100000	1.060606	0.828571	0.931035	1.037037	0.821429	
1.233333	0.891892	0.878788	0.655172	0.315789	2.500000	0.828571	0.931035	1.037037	0.821429	
0.633333	0.947368	0.555556	0.900000	0.888889	1.125000	0.888889	1.000000	1.375000	1.818182	
1.266667	1.052632	2.325000	1.129032	1.085714	1.043860	1.613445	1.020833	1.637755	1.295950	
0.800000	1.125000	0.703704	1.157895	0.954545	0.809524	0.647059	1.272727	0.928571	1.153846	
1.433333	0.906977	0.897436	1.285714	0.844444	1.131579	1.000000	1.069767	1.239130	1.052632	
1.000000	0.866667	0.692308	1.222222	1.272727	1.071429	0.900000	1.148148	1.000000	1.129032	
0.900000	1.333333	0.916667	1.000000	1.060606	2.171429	1.039474	0.886076	1.014286	1.281690	
0.896552	1.230769	1.156250	0.891892	0.818182	1.222222	0.909091	0.933333	0.821429	0.739130	
1.033333	0.903226	1.107143	1.193548	1.027027	1.157895	0.772727	1.058824	1.027778	0.972973	
1.133333	1.352941	0.760870	0.914286	1.218750	0.871795	1.323529	2.022222	1.230769	1.821429	
1.166667	1.228571	1.279070	1.072727	0.932203	0.727273	1.000000	1.125000	1.133333	0.803922	
1.433333	1.186046	1.921569	1.081633	0.990566	1.247619	1.167939	0.947712	1.000000	1.462069	
1.300000	1.384615	1.000000	1.111111	0.683333	1.512195	0.951613	1.220339	1.208333	1.252874	
1.133333	0.911765	1.129032	1.142857	1.000000	0.550000	1.181818	1.076923	0.821429	0.913043	
1.100000	1.030303	1.088235	1.081081	0.875000	1.314286	1.043478	1.041667	1.160000	0.793103	
1.200000	1.138889	1.097561	1.000000	1.000000	1.155556	1.230769	1.296875	1.048193	1.034483	
1.033333	0.935484	0.827586	1.250000	1.266667	0.947368	1.277778	0.891304	0.756098	1.096774	
1.300000	1.051282	1.292683	0.962264	0.980392	1.520000	1.118421	1.152941	1.295918	1.346457	
1.200000	0.944444	0.764706	0.692308	1.277778	0.608696	0.785714	0.727273	0.750000	1.333333	
0.900000	1.148148	0.935484	0.724138	1.047619	0.909091	1.050000	1.000000	1.428571	1.033333	
1.100000	1.090909	1.055556	1.473684	1.035714	1.034483	0.916667	0.963636	1.415094	1.080000	
1.033333	0.838710	0.884615	1.304348	1.400000	0.976190	0.975610	1.050000	1.452381	1.213115	
1.233333	0.972973	0.722222	0.923077	1.291667	1.129032	1.485714	1.288462	0.940298	0.968254	
1.166667	1.285714	0.911111	0.829268	0.970588	0.696970	1.130435	1.076923	1.535714	0.837209	
0.866667	1.038462	1.000000	0.777778	1.095238	1.217391	1.964286	1.254545	1.246377	1.546512	
1.266667	1.105263	0.833333	0.742857	1.269231	0.939394	1.032258	0.968750	2.032258	1.603175	
1.000000	0.833333	1.000000	0.960000	2.625000	0.952381	1.100000	0.939394	1.822581	1.345133	
1.333333	0.825000	1.121212	0.837838	1.225806	1.026316	1.025641	1.025000	1.121951	1.391304	
1.033333	0.935484	1.034483	1.533333	0.978261	0.733333	0.727273	1.375000	1.939394	1.421875	
1.000000	0.800000	1.125000	1.074074	1.310345	1.184211	0.866667	1.051282	1.121951	1.086957	
1.066667	1.031250	0.727273	1.125000	1.111111	1.000000	0.800000	1.125000	1.111111	1.066667	
1.200000	0.888889	0.968750	0.870968	1.629630	2.113636	1.204301	1.517857	1.417647	1.298755	
0.800000	0.708333	0.941176	0.812500	0.769231	1.200000	1.000000	0.666667	0.750000	1.333333	
1.166667	1.085714	1.315789	1.280000	1.078125	1.188406	1.121951	1.293478	1.126050	2.097015	
1.133333	0.852941	1.241379	1.138889	1.000000	1.097561	0.866667	0.923077	0.972222	0.914286	
1.166667	1.171429	1.024390	0.904762	1.184211	1.000000	1.244444	0.982143	1.145455	1.253968	
0.966667	0.758621	1.090909	1.333333	1.343750	0.813953	1.800000	1.317460	1.000000	1.927711	
0.833333	0.760000	0.736842	1.571429	1.000000	1.045455	1.260870	1.448276	1.404762	2.084746	
0.700000	0.952381	0.750000	0.666667	0.500000	1.045455	1.260870	1.448276	1.404762	2.084746	
0.566667	0.647059	0.636364	1.571429	1.000000	0.818182	0.666667	1.500000	0.888889	0.875000	
1.066667	1.312500	1.071429	1.200000	0.944444	1.196078	1.131148	1.043478	0.986111	1.169014	
1.100000	1.181818	1.025641	1.425000	1.210526	1.173913	0.950617	0.961039	1.216216	1.155556	
0.866667	0.730769	1.157895	1.500000	0.878788	1.448276	0.880952	0.891892	0.636364	0.857143	
1.466667	1.000000	1.295455	1.175439	0.820895	1.127273	1.000000	2.459016	1.786667	1.544776	
1.066667	0.687500	1.045455	1.130435	0.923077	1.000000	1.208333	0.862069	1.040000	1.192308	
