gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
2.000000	1.800000	1.605263	1.703704	1.742857	1.673469	1.991667	1.577540	1.724138	1.627986	
2.111111	2.000000	2.000000	1.755556	1.758065	1.952381	1.915254	1.905882	1.703863	1.638889	
1.444444	1.500000	2.206897	1.756098	2.181818	1.862069	1.550847	1.659864	1.715084	1.786026	
1.958333	1.531250	1.769231	1.962963	1.746667	1.716981	1.856164	1.724490	1.929752	1.725762	
1.705882	1.450000	2.111111	1.833333	1.711864	1.790123	1.709091	1.876623	1.662222	1.729452	
1.352941	1.850000	2.423077	1.627907	1.525424	2.033333	1.656566	1.620968	1.680000	1.746114	
2.040000	1.121212	2.228571	1.637931	1.648649	1.600000	1.775194	1.707182	1.737991	1.638806	
2.000000	1.375000	1.481481	1.607143	1.942857	1.891304	1.691176	1.648936	1.649123	1.813793	
1.954545	2.096774	1.745098	1.967213	1.810000	1.503497	1.893750	1.661157	1.759494	1.850467	
1.869565	1.416667	1.642857	2.147059	1.924528	1.697368	1.877358	1.621795	1.742105	1.685824	
1.760000	1.612903	2.166667	1.754386	2.173333	1.468468	1.780303	1.809816	1.697872	1.713262	
1.850000	2.437500	1.793103	1.705128	1.616071	1.770370	1.607735	1.799145	1.645455	1.746377	
2.176471	1.608696	1.652174	2.033333	2.078947	2.020000	1.607735	1.799145	1.645455	1.746377	
1.500000	1.600000	1.857143	1.871795	1.793103	1.736111	1.673077	1.781955	1.748538	1.671642	
1.470588	1.111111	2.250000	1.600000	1.636364	1.914894	1.671053	1.742574	1.850000	1.617647	
2.173913	1.605263	1.577778	1.969231	1.528090	1.553719	1.743421	1.672646	1.498339	1.663912	
1.565217	1.678571	1.729730	1.615385	1.949367	1.862385	1.725490	1.770054	1.697211	1.756410	
1.500000	1.846154	1.066667	2.037037	1.914286	1.754717	1.607143	1.714286	1.821782	1.772727	
1.368421	1.700000	1.538462	1.657143	1.666667	1.938776	1.658228	1.958763	1.848276	1.787234	
2.300000	1.781250	1.785714	1.738461	1.891892	1.899083	1.810976	1.724299	1.702128	1.834225	
1.583333	1.625000	1.750000	1.216216	1.852941	1.755102	2.063291	1.886179	1.663102	1.643411	
2.142857	1.756757	2.208333	1.773333	2.045455	1.638158	1.802030	1.696970	1.715909	1.836957	
1.500000	1.692308	1.771429	1.695652	1.741379	1.960000	1.894737	1.834319	1.629310	1.660959	
2.347826	1.878049	2.051724	1.811765	2.053097	1.890244	1.789916	1.537313	1.720379	1.770198	
2.000000	1.800000	1.605263	1.703704	1.742857	1.673469	1.991667	1.577540	1.724138	1.627986	
1.736842	1.680000	1.781250	1.847826	1.818182	1.770270	1.902174	2.062500	1.729858	1.688716	
1.666667	2.678571	1.740741	1.797101	1.761364	1.922330	1.842466	1.750000	1.796680	1.688716	
2.142857	1.756757	2.208333	1.773333	2.045455	1.638158	1.802030	1.696970	1.715909	1.836957	
1.666667	1.714286	1.967742	1.666667	1.636364	1.970149	1.801980	1.733813	1.767956	1.803347	
2.105263	1.687500	1.710526	1.685185	1.723077	1.840425	1.934959	1.698864	1.809129	1.811268	
2.105263	1.687500	1.710526	1.685185	1.723077	1.840425	1.934959	1.698864	1.809129	1.811268	
2.250000	1.657895	1.804878	1.684211	1.735294	1.653333	1.615385	1.772059	1.810651	1.713043	
1.600000	1.368421	2.600000	1.511628	1.695652	1.803571	1.683544	1.815534	1.733333	1.902703	
1.647059	1.521739	2.206897	1.784314	1.600000	1.902174	1.876923	1.813472	1.769531	1.683432	
1.888889	1.818182	1.560000	1.448980	1.766667	1.728261	1.853448	1.587879	1.798206	1.578767	
1.500000	1.600000	1.857143	1.871795	1.793103	1.736111	1.673077	1.781955	1.748538	1.671642	
1.962963	1.735294	2.100000	1.712500	1.970297	1.617450	1.647727	1.763636	1.665468	1.698864	
1.857143	1.724138	2.300000	1.764706	2.197368	1.765625	1.917647	1.786290	1.836207	1.758772	
1.583333	1.333333	1.766667	2.292683	2.235294	1.686957	1.633987	1.621212	1.802326	1.849351	
1.869565	1.307692	1.806452	2.086957	1.575758	1.750000	1.426966	1.813725	1.696552	1.830846	
1.772727	2.034483	2.026316	1.981818	1.869565	1.618705	1.730337	1.706897	1.746224	1.806897	
1.681818	2.285714	1.872340	2.012987	1.685950	1.668750	1.871795	1.798635	1.765790	1.720238	
1.631579	2.047619	1.648649	1.666667	1.800000	1.580645	1.877049	1.764398	1.730337	1.795699	
1.450000	1.840000	1.771429	1.860465	1.355932	1.575758	1.873239	2.120000	1.691275	1.655556	
2.272727	1.926829	1.854839	1.534091	1.660377	1.664234	1.628049	1.873786	1.719557	1.688705	
2.000000	1.696970	1.973684	1.542857	1.752941	1.839623	1.809211	1.666667	1.808081	1.757282	
1.583333	1.333333	1.766667	2.292683	2.235294	1.686957	1.633987	1.621212	1.802326	1.849351	
1.666667	1.655172	2.655172	1.819672	1.922222	1.648000	1.703488	1.720524	1.823529	1.644231	
2.277778	1.888889	2.000000	2.211539	1.725275	1.820513	1.880952	1.811715	1.836420	1.886878	
1.750000	2.444444	1.533333	1.542373	1.766234	1.739130	1.635135	1.556818	1.703349	1.577206	
