gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.565217	1.769231	1.756757	1.872727	1.698795	1.859259	1.791667	1.714286	1.940230	1.798742	
2.200000	1.514286	1.388889	1.675000	1.608696	2.353846	1.920635	1.892857	1.769874	1.702875	
2.153846	1.658537	1.537037	1.738461	1.768421	1.722973	1.626943	1.702797	1.901442	1.725705	
1.695652	1.535714	1.621622	2.000000	2.150943	1.766667	1.850000	1.784810	1.832558	1.695804	
1.285714	1.950000	1.852941	1.953488	1.746032	1.927083	1.916667	1.775956	1.978723	1.697329	
1.761905	1.850000	2.160000	2.090909	1.837209	1.716667	1.916667	1.775956	1.978723	1.697329	
2.541667	1.794872	1.673077	1.883117	1.904348	2.000000	1.806452	1.852273	1.695175	1.809443	
2.000000	1.702703	1.745455	2.135803	1.792857	1.759804	1.626335	1.850877	1.799180	1.628294	
2.263158	1.656250	1.600000	2.190476	1.906667	1.643564	1.713178	1.818182	1.678733	1.856164	
1.666667	1.689655	1.962264	1.643836	1.721650	1.626866	2.033898	1.948905	1.825123	1.783595	
1.823529	1.761905	2.129032	1.824561	1.797468	1.798077	1.781250	1.824786	1.696203	1.745882	
1.650000	2.227273	1.930233	1.634921	2.142857	1.629371	1.943750	1.787755	1.802432	1.887665	
2.409091	1.911765	1.679245	1.597015	1.600000	1.809091	1.794702	1.742991	1.937063	1.747596	
1.800000	1.863636	1.777778	1.764045	1.650406	1.721212	1.804444	1.750799	1.767773	1.791513	
1.590909	2.043478	1.500000	1.804878	1.931034	1.726316	1.973913	1.736585	1.726316	1.727273	
1.736842	2.259259	2.279070	1.594595	1.895833	1.750000	1.875706	1.704280	1.735562	1.860045	
1.631579	2.150000	1.432432	2.062500	2.126760	1.723214	1.917241	1.807107	1.879121	1.761421	
1.565217	1.769231	1.756757	1.872727	1.698795	1.859259	1.791667	1.714286	1.940230	1.798742	
1.947368	1.642857	2.000000	2.089286	2.010638	1.966216	1.902222	1.800000	1.931818	1.770308	
1.894737	1.454545	1.333333	2.000000	1.580645	1.906977	1.782609	1.840580	1.670103	1.854701	
2.150000	1.647059	1.491228	1.671642	1.593750	1.529851	1.580247	1.747525	1.852518	1.752294	
2.318182	1.888889	1.781818	1.835616	1.876190	1.878378	1.681818	1.846743	1.806452	1.779727	
1.833333	2.130435	1.956522	1.701493	1.650485	1.890511	1.896552	1.881844	1.765455	1.787026	
1.631579	1.800000	1.371429	2.060606	1.944444	1.878378	1.722772	1.764706	1.886905	1.686275	
2.227273	2.076923	1.767857	1.939024	1.830508	1.932927	1.821862	1.824208	1.890196	1.748960	
2.000000	1.437500	1.571429	1.875000	1.794520	1.647619	1.698529	1.672043	1.820084	1.903955	
1.954545	1.935484	1.914894	1.451613	1.705128	1.714286	1.787234	1.607843	1.560784	1.841945	
1.842105	2.214286	2.292683	2.119403	1.939130	1.858824	1.893805	1.978593	1.752535	1.837500	
2.115385	1.976190	1.469697	1.675676	2.047059	1.898551	1.737113	1.759857	1.779006	1.806794	
2.263158	2.055556	1.882353	1.731707	1.638095	1.932331	1.870647	1.779310	1.801453	1.753846	
1.952381	1.821429	1.684211	1.423077	1.362069	1.794118	1.806818	1.694215	1.756579	1.812834	
1.958333	2.032258	2.060000	1.540541	1.658823	1.831933	1.630872	1.676923	1.738095	1.513158	
2.454545	1.638889	1.738095	1.637931	1.775000	1.801724	1.935065	1.705882	1.905724	1.807143	
2.000000	1.794118	1.625000	1.966102	1.925532	2.229630	1.775229	1.668942	1.732240	1.747475	
2.357143	1.826087	2.131579	1.763636	1.900000	1.895522	1.828283	2.024000	1.864197	1.820327	
2.000000	1.517241	1.743590	2.000000	1.783133	1.708333	1.840237	1.775510	1.856287	1.815109	
2.470588	2.027778	2.000000	1.654321	1.716814	1.792899	1.889328	1.808219	1.856611	1.789272	
2.227273	1.790698	2.035088	1.673267	1.908397	2.079096	1.808081	1.802168	1.822222	1.770252	
1.526316	1.722222	1.860000	1.917808	1.633333	1.892216	1.800830	2.008310	1.744224	1.664160	
1.736842	1.642857	2.342857	1.796875	1.865979	1.893443	1.832402	2.008065	1.816216	1.827381	
1.500000	1.666667	1.545455	1.906977	1.982759	2.000000	1.861111	1.803109	1.733083	1.790055	
2.095238	1.971429	1.416667	1.946429	1.657534	1.930693	1.875862	1.967442	1.718447	1.762836	
1.833333	1.575758	1.484848	1.916667	2.171875	1.815789	1.923529	1.647510	1.637500	1.825581	
1.750000	1.730769	1.636364	2.170732	1.841270	1.815789	1.923529	1.647510	1.637500	1.825581	
2.055556	1.586207	1.793103	1.980000	1.985294	2.073684	1.751678	1.584615	1.804979	1.759531	
1.954545	1.870968	1.580000	1.690476	1.828571	1.692771	1.686695	1.769697	1.917526	1.659780	
1.227273	1.863636	1.655172	2.000000	1.711538	1.737500	1.694444	1.602941	1.722826	1.606299	
1.722222	2.000000	2.108108	1.953846	1.877778	1.961538	1.670051	1.948413	1.779221	1.856859	
1.809524	2.718750	2.097222	1.837607	1.940476	1.858238	1.722992	1.670168	1.848576	1.679226	
1.736842	2.233333	1.846154	1.731343	1.806818	1.561983	1.766667	1.880000	1.804124	1.697436	
