gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
0.863636	1.200000	1.076923	1.000000	1.461538	1.266667	0.647059	1.125000	1.285714	1.777778	
1.437500	1.333333	1.115385	1.000000	1.045455	1.040000	1.142857	1.000000	1.040000	1.578947	
1.300000	1.380952	1.423077	0.875000	1.363636	1.208333	1.071429	1.347826	1.565217	0.892857	
1.300000	1.444444	1.217391	1.333333	1.090909	1.190476	1.068966	1.307692	0.846154	1.150000	
1.440000	1.222222	1.200000	1.793103	1.139535	1.142857	1.509434	1.107692	1.151515	1.269841	
0.909091	0.900000	1.000000	1.454545	0.375000	0.800000	0.833333	1.250000	1.000000	1.428571	
1.363636	1.269231	1.281250	1.441176	1.120000	1.173913	1.260000	1.372549	1.271429	1.246575	
1.565217	0.880000	1.368421	0.705882	1.181818	1.400000	1.666667	0.714286	1.375000	1.700000	
0.863636	0.812500	1.210526	1.000000	1.100000	1.700000	0.900000	1.400000	1.333333	1.000000	
1.130435	1.391304	0.739130	1.217391	1.000000	0.842105	1.230769	1.800000	1.411765	1.111111	
1.176471	1.533333	0.909091	1.416667	1.437500	1.050000	1.238095	1.055556	1.411765	1.105263	
1.277778	0.761905	1.166667	1.076923	1.200000	2.000000	1.066667	1.600000	1.285714	2.150000	
1.318182	0.529412	0.400000	0.500000	2.000000	0.666667	1.066667	1.600000	1.285714	2.150000	
1.300000	1.380952	0.923077	1.700000	1.045455	0.636364	1.545455	1.235294	0.904762	1.071429	
0.909091	0.933333	0.428571	0.500000	2.000000	2.000000	1.250000	1.000000	1.400000	0.285714	
0.894737	1.352941	1.437500	0.960000	1.086957	1.476190	1.244898	1.692308	1.361446	1.407767	
1.235294	1.000000	1.105263	0.933333	1.636364	1.312500	1.411765	1.300000	0.842105	1.466667	
1.500000	1.285714	1.360000	1.280000	0.970588	1.615385	1.031250	1.350000	2.108108	0.980000	
1.500000	1.178571	1.136364	1.500000	1.566667	1.238095	1.225000	1.085714	0.714286	0.785714	
0.952381	0.842105	1.368421	1.434783	0.958333	0.892857	1.375000	1.409091	2.107143	1.410256	
1.000000	1.142857	1.090909	1.000000	0.631579	2.142857	1.076923	0.857143	1.909091	1.800000	
0.818182	0.947368	1.400000	1.050000	1.095238	1.687500	1.055556	1.058824	1.181818	1.333333	
1.190476	1.391304	1.450000	1.214286	1.068966	0.956522	1.166667	0.954545	0.800000	1.642857	
1.375000	0.826087	0.833333	1.157895	0.947368	1.266667	1.315789	0.952381	1.055556	0.800000	
0.863636	1.200000	1.076923	1.000000	1.461538	1.266667	0.647059	1.125000	1.285714	1.777778	
1.312500	0.777778	1.076923	1.076923	1.300000	0.857143	1.625000	1.090909	1.111111	1.200000	
1.190476	0.833333	0.500000	1.125000	0.833333	1.000000	1.250000	0.333333	1.000000	1.200000	
0.818182	0.947368	1.400000	1.050000	1.095238	1.687500	1.055556	1.058824	1.181818	1.333333	
1.000000	0.875000	1.176471	1.277778	1.388889	1.307692	0.950000	1.000000	1.333333	1.117647	
1.473684	1.083333	1.111111	0.730769	1.058824	1.250000	1.111111	1.333333	0.733333	1.222222	
1.473684	1.083333	1.111111	0.730769	1.058824	1.250000	1.111111	1.333333	0.733333	1.222222	
1.333333	1.555556	0.809524	1.166667	1.153846	0.785714	0.857143	0.500000	3.000000	2.000000	
0.952381	1.133333	1.250000	0.944444	1.812500	1.400000	1.080000	1.482759	1.325000	1.111111	
1.478261	1.307692	0.812500	1.944444	1.107143	1.033333	1.315789	3.071429	1.393443	1.740260	
1.416667	1.576923	0.937500	1.423077	1.323529	1.176471	1.275000	1.146341	1.270833	1.327273	
1.300000	1.380952	0.923077	1.700000	1.045455	0.636364	1.545455	1.235294	0.904762	1.071429	
0.818182	1.285714	0.928571	0.750000	0.857143	1.600000	0.714286	2.000000	1.750000	2.500000	
1.238095	1.450000	1.033333	0.739130	1.111111	1.000000	0.692308	1.090909	0.500000	0.666667	
1.500000	1.200000	1.290323	1.322581	1.148936	1.694444	1.037037	1.162791	1.235294	1.260000	
1.434783	1.370370	1.476190	0.812500	1.107143	1.275862	1.413793	1.365854	1.030303	1.230769	
1.666667	1.379310	0.941176	1.000000	1.461538	1.206897	0.642857	0.578947	1.666667	1.437500	
1.000000	1.250000	1.037037	1.208333	1.250000	1.093750	0.884615	1.157895	1.863636	1.914286	
0.958333	1.000000	1.312500	1.000000	2.480000	1.341463	0.925926	3.044445	1.980198	1.978836	
1.272727	0.909091	2.100000	1.444444	1.120000	1.842105	1.500000	1.357143	1.187500	1.088235	
1.181818	1.095238	1.214286	1.200000	1.000000	1.444444	0.947368	0.916667	0.730769	2.062500	
1.041667	0.857143	1.041667	1.320000	0.851852	2.818182	0.978261	1.500000	1.469388	1.567901	
1.500000	1.200000	1.290323	1.322581	1.148936	1.694444	1.037037	1.162791	1.235294	1.260000	
1.285714	1.200000	2.321429	1.021739	1.261905	1.220000	1.711864	1.093333	1.265823	1.153846	
0.958333	1.411765	0.812500	1.466667	1.400000	1.285714	1.000000	0.894737	1.250000	0.500000	
1.304348	1.181818	0.777778	1.400000	1.000000	0.842105	1.083333	0.750000	0.888889	2.000000	
