gen 1	gen 2	gen 3	gen 4	gen 5	gen 6	gen 7	gen 8	gen 9	gen 10	
1.450000	1.607143	1.097561	1.250000	0.883721	1.433333	1.069767	1.200000	1.434783	1.344262	
1.120000	1.500000	0.607143	0.894737	1.000000	1.100000	0.944444	1.727273	1.105263	0.944444	
0.750000	1.166667	1.277778	1.888889	1.115385	1.206897	2.368421	1.015385	2.250000	1.432203	
1.222222	1.117647	1.333333	0.875000	1.312500	1.388889	1.157895	1.052632	1.352941	1.100000	
1.370370	0.964286	1.086957	1.083333	1.333333	1.250000	1.083333	1.190476	1.210526	0.928571	
1.227273	1.222222	1.166667	0.882353	0.333333	2.500000	1.083333	1.190476	1.210526	0.928571	
0.571429	1.000000	0.833333	1.142857	0.800000	1.000000	0.857143	0.800000	1.250000	1.500000	
1.473684	1.321429	3.000000	1.215385	1.157143	1.164384	2.123288	1.166667	1.830769	1.567961	
1.333333	1.000000	0.727273	1.083333	1.400000	0.857143	0.833333	1.500000	1.333333	1.166667	
1.619048	0.970588	0.869565	1.440000	1.037037	1.178571	0.944444	1.258065	1.548387	1.368421	
1.250000	1.125000	0.809524	1.333333	1.636364	0.950000	0.850000	1.250000	1.047619	1.208333	
1.142857	1.562500	1.000000	1.210526	1.272727	2.739130	1.269231	1.038462	1.041667	1.767442	
1.045455	1.133333	1.434783	0.956522	0.809524	1.235294	0.880000	1.041667	0.900000	0.823529	
1.176471	1.050000	1.555556	1.300000	1.250000	1.071429	0.931035	1.380952	0.857143	1.120000	
1.294118	1.521739	1.033333	1.000000	1.476190	0.809524	1.541667	1.961538	1.056604	2.265823	
1.391304	1.666667	1.323529	1.210526	0.956522	0.914286	1.000000	1.161290	1.153846	1.030303	
1.454545	1.413793	1.000000	1.196721	1.126761	1.324324	1.238095	1.080000	1.170455	1.946808	
1.450000	1.607143	1.097561	1.250000	0.883721	1.433333	1.069767	1.200000	1.434783	1.344262	
1.294118	0.964286	1.166667	0.941176	1.240000	0.600000	1.333333	1.117647	0.882353	1.071429	
1.388889	1.363636	1.090909	1.259259	1.074074	1.296296	1.258065	1.225806	1.096774	0.921053	
1.400000	1.190476	0.954545	1.090909	1.290323	1.428571	1.500000	1.404255	1.080000	1.151515	
1.136364	1.222222	0.950000	1.250000	1.307692	1.090909	1.321429	0.964286	0.750000	1.350000	
1.409091	0.827586	1.321429	1.029412	1.050000	1.470588	1.236364	1.305085	1.397059	1.443182	
1.458333	1.000000	0.952381	0.823529	1.285714	0.823529	0.875000	1.000000	1.000000	1.333333	
1.100000	1.000000	1.136364	0.772727	1.071429	0.941176	1.266667	1.538462	1.500000	1.130435	
1.117647	1.125000	1.315789	1.680000	1.097561	1.222222	1.131579	0.974359	1.694444	1.160000	
1.250000	1.200000	0.700000	1.466667	1.350000	0.968750	1.200000	1.259259	1.781250	1.500000	
1.647059	1.214286	0.869565	1.133333	1.380952	1.263158	1.800000	1.722222	1.069767	1.244444	
1.350000	1.555556	1.133333	1.103448	1.047619	0.636364	1.062500	1.300000	1.590909	0.965517	
0.904762	1.230769	1.285714	0.833333	0.894737	1.416667	2.277778	1.477273	1.553192	1.836066	
1.590909	1.407407	1.120000	0.954545	1.500000	1.125000	1.000000	1.111111	3.000000	1.971429	
1.095238	1.090909	1.000000	1.538462	3.105263	1.325000	1.236842	1.297297	2.439024	1.712500	
1.523810	1.120000	1.041667	0.869565	1.217391	1.160000	1.066667	1.222222	1.129032	1.636364	
1.150000	1.000000	1.333333	1.608696	1.111111	0.962963	0.894737	1.529412	2.076923	1.734694	
1.368421	0.941176	1.466667	1.500000	1.615385	1.500000	1.137931	1.142857	1.727273	1.375000	
1.043478	1.238095	1.000000	1.375000	1.333333	1.200000	0.875000	1.533333	1.166667	1.238095	
1.050000	1.153846	1.045455	0.750000	1.285714	1.062500	1.353846	1.846154	1.266667	1.494048	
0.952381	0.600000	1.066667	1.000000	1.000000	1.000000	1.428571	0.750000	1.000000	1.750000	
1.476190	1.318182	1.478261	1.454545	1.279070	1.295455	1.300000	1.484848	1.187500	1.931034	
1.190476	0.851852	1.500000	1.370370	0.941176	1.260870	1.066667	1.041667	0.954545	1.173913	
1.136364	1.307692	0.896552	0.960000	1.416667	1.133333	1.258065	1.135135	1.324324	1.355556	
1.040000	0.772727	1.375000	1.142857	1.571429	1.000000	2.454545	1.581395	1.087719	2.543860	
0.850000	0.857143	0.636364	1.428571	1.117647	1.083333	1.333333	1.312500	1.466667	1.439024	
1.071429	1.285714	0.769231	0.875000	0.500000	1.083333	1.333333	1.312500	1.466667	1.439024	
0.666667	0.692308	0.625000	1.750000	1.111111	1.400000	1.000000	1.400000	1.142857	1.000000	
1.285714	1.550000	1.222222	1.343750	1.048780	1.205128	1.209302	1.102041	1.109091	1.521739	
1.142857	1.428571	1.259259	1.758621	1.131579	1.339286	1.039216	1.041667	1.338983	1.125000	
1.117647	0.800000	1.416667	1.437500	0.705882	1.640000	1.153846	1.250000	0.571429	1.272727	
1.476190	0.969697	1.444444	1.459459	0.880000	1.159091	1.184211	2.090909	2.290000	1.670330	
1.190476	0.904762	1.214286	1.111111	0.950000	1.076923	1.200000	0.950000	1.111111	1.400000	
