Generation	Generation_size_p	Avg_R_p	Generation_size_s	Avg_R_s	Sym_size_p	Asym_size_p	Sym_avg_p	Asym_avg_p	 Sym_size_s	Asym_size_s	Sym_avg_s	Asym_avg_s
1	30	1.433333	30	1.100000	24	6	1.750000	0.166667	23	7	1.304348	0.428571
2	43	1.651163	33	1.242424	27	16	2.444444	0.312500	22	11	1.181818	1.363636
3	71	1.154930	41	0.609756	45	26	1.533333	0.500000	27	14	0.777778	0.285714
4	82	1.219512	25	1.080000	59	23	1.542373	0.391304	15	10	1.400000	0.600000
5	100	1.450000	27	0.888889	77	23	1.766234	0.391304	20	7	1.000000	0.571429
6	145	1.296552	24	0.875000	92	53	1.739130	0.528302	19	5	0.842105	1.000000
7	188	1.393617	21	0.952381	148	40	1.635135	0.500000	12	9	1.083333	0.777778
8	262	1.164122	20	0.700000	176	86	1.556818	0.360465	16	4	0.750000	0.500000
9	305	1.327869	14	0.857143	209	96	1.703349	0.510417	9	5	0.888889	0.800000
10	405	1.172840	12	1.333333	272	133	1.577206	0.345865	6	6	2.000000	0.666667
11	475	1.145263	16	1.125000	322	153	1.496894	0.405229	10	6	1.200000	1.000000
12	544	1.224265	18	1.000000	365	179	1.610959	0.435754	12	6	1.000000	1.000000
13	666	1.235736	18	1.666667	446	220	1.625561	0.445455	11	7	1.909091	1.285714
14	823	1.244228	30	1.133333	542	281	1.677122	0.409253	20	10	1.400000	0.600000
15	1024	1.230469	34	2.117647	705	319	1.618440	0.373041	27	7	2.296296	1.428571
16	1260	1.205556	72	2.125000	851	409	1.586369	0.413203	48	24	2.104167	2.166667
17	1519	1.207373	153	1.058824	1001	518	1.592408	0.463320	109	44	1.385321	0.250000
18	1834	1.199019	162	1.746914	1259	575	1.569500	0.387826	108	54	1.546296	2.148148
19	2199	1.150978	283	1.339223	1506	693	1.493360	0.406926	177	106	1.587571	0.924528
20	2531	1.112209	379	1.084433	1695	836	1.472566	0.381579	264	115	1.420455	0.313043
21	2815	1.089876	411	1.058394	1906	909	1.439140	0.357536	268	143	1.268657	0.664336
22	3068	1.091591	435	1.073563	2066	1002	1.436592	0.380240	306	129	1.310457	0.511628
23	3349	1.025082	467	0.869379	2237	1112	1.371033	0.329137	314	153	1.168790	0.254902
24	3433	1.009613	406	0.985222	2295	1138	1.318954	0.385765	278	128	1.298561	0.304688
25	3466	0.932487	400	0.925000	2303	1163	1.249240	0.305245	277	123	1.202166	0.300813
26	3232	0.899443	370	0.978378	2187	1045	1.174669	0.323445	247	123	1.331984	0.268293
27	2907	0.904025	362	0.911602	1937	970	1.204956	0.303093	239	123	1.225941	0.300813
28	2628	0.877473	330	0.993939	1791	837	1.153545	0.286738	227	103	1.224670	0.485437
29	2306	0.847355	328	0.972561	1564	742	1.103581	0.307278	228	100	1.236842	0.370000
30	1954	0.836233	319	1.018809	1311	643	1.121282	0.255054	221	98	1.366516	0.234694
31	1634	0.824969	325	0.815385	1095	539	1.086758	0.293135	212	113	1.132075	0.221239
32	1348	0.764837	265	0.667925	918	430	1.007625	0.246512	191	74	0.874346	0.135135
33	1031	0.705141	177	0.531073	694	337	0.935158	0.231454	123	54	0.691057	0.166667
34	727	0.713893	94	0.542553	484	243	0.952479	0.238683	64	30	0.734375	0.133333
35	519	0.631985	51	0.745098	357	162	0.831933	0.191358	40	11	0.900000	0.181818
36	328	0.454268	38	0.315789	205	123	0.604878	0.203252	24	14	0.333333	0.285714
37	149	0.516779	12	0.916667	108	41	0.648148	0.170732	10	2	1.100000	0.000000
38	77	0.285714	11	0.545455	46	31	0.391304	0.129032	7	4	0.857143	0.000000
39	22	0.363636	6	0.000000	18	4	0.444444	0.000000	5	1	0.000000	0.000000
40	8	0.375000	0	-1.#IND00	6	2	0.333333	0.500000	0	0	-1.#IND00	-1.#IND00
41	3	0.333333	0	-1.#IND00	1	2	1.000000	0.000000	0	0	-1.#IND00	-1.#IND00
42	1	0.000000	0	-1.#IND00	1	0	0.000000	-1.#IND00	0	0	-1.#IND00	-1.#IND00
43	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
44	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
45	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
46	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
47	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
48	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
49	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
50	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
51	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
52	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
53	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
54	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
55	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
56	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
57	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
58	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
59	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
60	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
61	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
62	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
63	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
64	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
65	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
66	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
67	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
68	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
69	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
70	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
71	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
72	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
73	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
74	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
75	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
76	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
77	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
78	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
79	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
80	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
