Generation	Generation_size_p	Avg_R_p	Generation_size_s	Avg_R_s	Sym_size_p	Asym_size_p	Sym_avg_p	Asym_avg_p	 Sym_size_s	Asym_size_s	Sym_avg_s	Asym_avg_s
1	30	1.266667	30	1.066667	19	11	1.736842	0.454545	21	9	1.190476	0.777778
2	38	1.868421	32	0.687500	30	8	2.233333	0.500000	21	11	0.904762	0.272727
3	71	1.408451	22	1.045455	52	19	1.846154	0.210526	14	8	1.214286	0.750000
4	100	1.280000	23	1.130435	67	33	1.731343	0.363636	18	5	1.111111	1.200000
5	128	1.382813	26	0.923077	88	40	1.806818	0.450000	20	6	0.950000	0.833333
6	177	1.209040	24	1.000000	121	56	1.561983	0.446429	13	11	1.076923	0.909091
7	214	1.401869	24	1.208333	150	64	1.766667	0.546875	10	14	1.200000	1.214286
8	300	1.426667	29	0.862069	200	100	1.880000	0.520000	20	9	0.950000	0.666667
9	428	1.394860	25	1.040000	291	137	1.804124	0.525547	18	7	1.111111	0.857143
10	597	1.261307	26	1.192308	390	207	1.697436	0.439614	20	6	1.400000	0.500000
11	753	1.290837	31	0.741935	502	251	1.707171	0.458167	21	10	0.904762	0.400000
12	972	1.311728	23	1.086957	655	317	1.745038	0.416404	16	7	1.250000	0.714286
13	1275	1.350588	25	3.200000	869	406	1.747986	0.500000	17	8	4.470588	0.500000
14	1722	1.347851	80	1.700000	1179	543	1.707379	0.567219	53	27	1.377358	2.333333
15	2321	1.244722	136	1.632353	1557	764	1.647399	0.424084	95	41	2.189474	0.341463
16	2889	1.188300	222	1.130631	1922	967	1.561394	0.446743	157	65	1.426752	0.415385
17	3433	1.171570	251	1.573705	2289	1144	1.559196	0.395979	165	86	2.042424	0.674419
18	4022	1.151417	395	1.281013	2735	1287	1.505667	0.398601	249	146	1.453815	0.986301
19	4631	1.080328	506	1.096838	3119	1512	1.419686	0.380291	353	153	1.368272	0.470588
20	5003	1.038577	555	1.243243	3403	1600	1.348222	0.380000	381	174	1.614173	0.431034
21	5196	0.979600	690	1.049275	3511	1685	1.275705	0.362611	466	224	1.293991	0.540179
22	5090	0.923183	724	0.995856	3407	1683	1.219841	0.322638	496	228	1.256048	0.429825
23	4699	0.884018	721	0.972261	3167	1532	1.156931	0.319843	482	239	1.298755	0.313808
24	4154	0.855079	701	0.955777	2767	1387	1.121793	0.322999	498	203	1.196787	0.364532
