Generation	Generation_size_p	Avg_R_p	Generation_size_s	Avg_R_s	Sym_size_p	Asym_size_p	Sym_avg_p	Asym_avg_p	 Sym_size_s	Asym_size_s	Sym_avg_s	Asym_avg_s
1	30	1.233333	30	0.933333	20	10	1.800000	0.100000	21	9	0.619048	1.666667
2	37	1.000000	28	1.142857	23	14	1.521739	0.142857	18	10	1.444444	0.600000
3	37	1.270270	32	1.062500	25	12	1.680000	0.416667	20	12	1.200000	0.833333
4	47	1.361702	34	0.823529	36	11	1.666667	0.363636	24	10	1.041667	0.300000
5	64	1.937500	28	0.964286	51	13	2.235294	0.769231	18	10	1.111111	0.700000
6	124	1.201613	27	0.888889	74	50	1.716216	0.440000	15	12	1.333333	0.333333
7	149	1.375839	24	1.250000	102	47	1.754902	0.553191	18	6	1.500000	0.500000
8	205	1.273171	30	1.333333	136	69	1.654412	0.521739	17	13	1.882353	0.615385
9	261	1.402299	40	1.100000	165	96	1.860606	0.614583	27	13	1.111111	1.076923
10	366	1.314208	44	1.159091	241	125	1.738589	0.496000	32	12	1.500000	0.250000
11	481	1.261954	51	0.764706	311	170	1.697749	0.464706	30	21	0.933333	0.523810
12	607	1.296540	39	1.256410	372	235	1.844086	0.429787	23	16	1.478261	0.937500
13	787	1.385006	49	0.877551	519	268	1.884393	0.417910	31	18	1.032258	0.611111
14	1090	1.282569	43	1.279070	744	346	1.701613	0.381503	28	15	1.392857	1.066667
15	1398	1.366953	55	1.181818	915	483	1.833880	0.482402	35	20	1.428571	0.750000
16	1911	1.238095	65	0.984615	1250	661	1.676800	0.408472	46	19	1.130435	0.631579
17	2366	1.244294	64	1.484375	1533	833	1.690150	0.423770	38	26	0.894737	2.346154
18	2943	1.173632	95	1.094737	1957	986	1.563107	0.400609	59	36	1.389830	0.611111
19	3454	1.143891	104	1.096154	2243	1211	1.556398	0.379851	76	28	1.302632	0.535714
20	3951	1.106049	114	1.517544	2600	1351	1.476154	0.393782	71	43	2.112676	0.534884
21	4370	1.068879	173	1.404624	2859	1511	1.459252	0.330245	119	54	1.327731	1.574074
22	4671	0.995718	243	1.193416	3036	1635	1.342885	0.351070	168	75	1.547619	0.400000
23	4651	0.977424	289	0.899654	3086	1565	1.296500	0.348243	191	98	1.167539	0.377551
24	4546	0.926749	260	1.026923	2943	1603	1.256201	0.321896	168	92	1.428571	0.293478
25	4213	0.923570	267	0.932584	2738	1475	1.239591	0.336949	170	97	1.270588	0.340206
