workplaces,business_type_id,type_count,percent_workplaces,percent_weekday_errands,percent_weekend_errands,percent_voluntary_quarantine_errands,daily_contact_count
workplaces,0,10000,0.06586,0,0,0.8,3
workplaces,1,70000,0.05802,0,0,0,3
workplaces,2,24000,0.30227,0,0,0,3
workplaces,3,3000,0.0048,0,0,0,2
workplaces,4,1000,0.00997,0,0,0,2
workplaces,5,2000,0.203,0,0,0,3
workplaces,6,1000,0.09736,0,0,0,3
workplaces,7,1000,0.10598,0,0,0,2
workplaces,8,3000,0.00681,0,0,0,2
workplaces,9,5000,0.02599,0.61919,0.51493,0.1,2
workplaces,10,0,0,0,0,0,0
workplaces,11,3000,0.08749,0.27812,0.25586,0,2
workplaces,12,4000,0.03181,0.06601,0.1162,0,2
workplaces,13,1000,0.00064,0.03668,0.113,0.1,2
